timestamp,symbol,pos,turnover,cost
2020-01-08 01:00:00,BNBUSDT,1.0,1.0,0.0015
2020-01-08 01:00:00,BTCUSDT,1.0,1.0,0.0015
2020-01-08 01:00:00,ETHUSDT,1.0,1.0,0.0015
2020-01-14 00:00:00,ETHUSDT,0.0,1.0,0.0015
2020-01-14 01:00:00,ETHUSDT,1.0,1.0,0.0015
2020-01-21 15:00:00,BTCUSDT,0.0,1.0,0.0015
2020-01-21 20:00:00,ETHUSDT,0.0,1.0,0.0015
2020-01-21 21:00:00,BTCUSDT,1.0,1.0,0.0015
2020-01-21 21:00:00,ETHUSDT,1.0,1.0,0.0015
2020-01-21 22:00:00,BTCUSDT,0.0,1.0,0.0015
2020-01-22 05:00:00,BTCUSDT,1.0,1.0,0.0015
2020-01-22 10:00:00,BTCUSDT,0.0,1.0,0.0015
2020-01-22 14:00:00,BNBUSDT,0.0,1.0,0.0015
2020-01-22 14:00:00,ETHUSDT,0.0,1.0,0.0015
2020-01-22 15:00:00,BNBUSDT,1.0,1.0,0.0015
2020-01-22 15:00:00,ETHUSDT,1.0,1.0,0.0015
2020-01-22 23:00:00,BNBUSDT,0.0,1.0,0.0015
2020-01-23 00:00:00,BNBUSDT,1.0,1.0,0.0015
2020-01-23 12:00:00,ETHUSDT,0.0,1.0,0.0015
2020-01-23 13:00:00,ETHUSDT,1.0,1.0,0.0015
2020-01-23 14:00:00,ETHUSDT,0.0,1.0,0.0015
2020-01-23 16:00:00,ETHUSDT,1.0,1.0,0.0015
2020-01-23 18:00:00,ETHUSDT,0.0,1.0,0.0015
2020-01-23 19:00:00,BNBUSDT,0.0,1.0,0.0015
2020-01-23 22:00:00,BNBUSDT,1.0,1.0,0.0015
2020-01-24 01:00:00,BNBUSDT,0.0,1.0,0.0015
2020-01-26 12:00:00,BNBUSDT,1.0,1.0,0.0015
2020-01-26 18:00:00,ETHUSDT,1.0,1.0,0.0015
2020-01-27 01:00:00,BTCUSDT,1.0,1.0,0.0015
2020-01-27 03:00:00,BTCUSDT,0.0,1.0,0.0015
2020-01-27 04:00:00,BTCUSDT,1.0,1.0,0.0015
2020-01-27 06:00:00,BTCUSDT,0.0,1.0,0.0015
2020-01-27 12:00:00,BTCUSDT,1.0,1.0,0.0015
2020-01-28 16:00:00,BNBUSDT,0.0,1.0,0.0015
2020-01-29 06:00:00,BNBUSDT,1.0,1.0,0.0015
2020-01-29 07:00:00,BNBUSDT,0.0,1.0,0.0015
2020-01-29 08:00:00,BNBUSDT,1.0,1.0,0.0015
2020-02-05 00:00:00,BTCUSDT,0.0,1.0,0.0015
2020-02-05 12:00:00,BTCUSDT,1.0,1.0,0.0015
